Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.2000,106.4000,0.00,Top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",44.0700,83.6500,0.00,Top
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.4200,63.6000,180.00,Top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.3200,115.7000,0.00,Top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.2500,110.7500,0.00,Top
"J17","In12V","BarrelJack_Horizontal",37.4000,146.0000,90.00,Top
"R5","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.4700,100.7500,180.00,Top
"U1","ESP32-WROOM-32D","ESP32-WROOM-32D",75.2200,69.8000,0.00,Top
"R4","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.1825,87.7400,0.00,Top
"R3","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.2200,97.0000,0.00,Top
"PS1","HLK-10M05","Converter_ACDC_Hi-Link_HLK-10Mxx",95.4325,141.1500,180.00,Top
"REF**","ESD-Logo_22x20mm_SilkScreen","ESD-Logo_22x20mm_SilkScreen",108.2349,128.8167,0.00,Top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",44.1200,113.2000,0.00,Top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",44.2200,103.9000,0.00,Top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",44.2200,94.5000,0.00,Top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.9575,140.5500,-90.00,Bottom
"R8","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.8000,100.0000,0.00,Bottom
"Q1","BTA16-800B","TO-220-3_Vertical",94.0000,116.2000,90.00,Bottom
"J6","LED","Molex_SL_171971-0003_1x03_P2.54mm_Vertical",105.5700,83.8500,90.00,Bottom
"U4","TLP181","SOIC-4_4.55x3.7mm_P2.54mm",73.7500,126.7700,180.00,Bottom
"Q2","BTA16-800B","TO-220-3_Vertical",114.0000,116.2000,90.00,Bottom
"J15","TRIAC OUT_B","PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",115.0620,148.5900,180.00,Bottom
"J3","Input2","Molex_SL_171971-0002_1x02_P2.54mm_Vertical",48.5575,106.4000,90.00,Bottom
"J11","I2C","Molex_SL_171971-0004_1x04_P2.54mm_Vertical",50.9200,78.4500,90.00,Bottom
"J9","Motor_A","Molex_SL_171971-0004_1x04_P2.54mm_Vertical",83.6200,90.1500,180.00,Bottom
"U5","AMS1117-3.3","SOT-223-3_TabPin2",54.7575,141.1625,90.00,Bottom
"R10","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.2000,96.6000,0.00,Bottom
"J10","Motor_B","Molex_SL_171971-0004_1x04_P2.54mm_Vertical",98.4200,69.8000,0.00,Bottom
"J2","Input1","Molex_SL_171971-0002_1x02_P2.54mm_Vertical",48.5075,115.7500,90.00,Bottom
"F1","500mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",70.4200,108.1500,90.00,Bottom
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.8000,127.0000,180.00,Bottom
"J16","220V IN","PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",81.0260,148.5900,180.00,Bottom
"J5","Input4","Molex_SL_171971-0002_1x02_P2.54mm_Vertical",48.5200,87.7000,90.00,Bottom
"R11","120K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",76.6000,136.1440,90.00,Bottom
"U6","HW-613","HW-613",45.0875,136.7425,0.00,Bottom
"J4","Input3","Molex_SL_171971-0002_1x02_P2.54mm_Vertical",48.5075,97.0500,90.00,Bottom
"R7","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",83.6000,114.2000,-90.00,Bottom
"R6","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.8200,70.6500,0.00,Bottom
"BR1","DB107S","DIOB_DB107S",87.1220,135.8900,-90.00,Bottom
"U3","MOC3041M","SMDIP-6_W9.53mm",106.0000,104.8000,-90.00,Bottom
"R9","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.4000,114.0000,-90.00,Bottom
"J12","DAC","Molex_SL_171971-0003_1x03_P2.54mm_Vertical",58.3200,73.1000,-90.00,Bottom
"J14","TRIAC OUT_A","PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",98.0440,148.5900,180.00,Bottom
"U2","MOC3041M","SMDIP-6_W9.53mm",86.2000,104.8000,-90.00,Bottom
"J1","PROG","PinHeader_2x03_P2.54mm_Vertical",58.7800,103.9100,-90.00,Bottom
"J7","Reset","PinHeader_1x02_P2.54mm_Vertical",60.2500,116.2500,-90.00,Bottom
"J13","UART2","Molex_SL_171971-0003_1x03_P2.54mm_Vertical",94.0200,83.8500,90.00,Bottom
"REF**","ESD-Logo_22x20mm_SilkScreen","ESD-Logo_22x20mm_SilkScreen",108.0000,129.0000,180.00,Bottom
"J8","SPI","PinHeader_1x06_P2.54mm_Vertical",115.3700,70.0000,180.00,Bottom
"C9","47uFxx35V","CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder",42.0500,131.4000,180.00,Bottom
"C11","22uFx16V","CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder",62.5575,140.6625,-90.00,Bottom
